tff_id,team,player,tff_pos,tff_cost,2024-08-16T19:00:00Z,2024-08-17T11:30:00Z,2024-08-17T14:00:00Z,2024-08-17T16:30:00Z,2024-08-18T13:00:00Z,2024-08-18T15:30:00Z,2024-08-19T19:00:00Z,2024-08-24T11:30:00Z,2024-08-24T14:00:00Z,2024-08-24T16:30:00Z,2024-08-25T13:00:00Z,2024-08-25T15:30:00Z,2024-08-31T11:30:00Z,2024-08-31T14:00:00Z,2024-08-31T16:30:00Z,2024-09-01T12:30:00Z,2024-09-01T15:00:00Z,2024-09-14T11:30:00Z,2024-09-14T14:00:00Z,2024-09-14T16:30:00Z,2024-09-14T19:00:00Z,2024-09-15T13:00:00Z,2024-09-15T15:30:00Z,2024-09-21T11:30:00Z,2024-09-21T14:00:00Z,2024-09-21T16:30:00Z,2024-09-22T13:00:00Z,2024-09-22T15:30:00Z,2024-09-28T11:30:00Z,2024-09-28T14:00:00Z,2024-09-28T16:30:00Z,2024-09-29T13:00:00Z,2024-09-29T15:30:00Z,2024-09-30T19:00:00Z,total_pts,ppm
244042,FUL,Muniz,F,3.4,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,22.17,6.52
80201,FUL,Leno,G,3.4,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,22.15,6.51
198869,ARS,White,D,4.6,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,2.35,0.0,4.5,0.0,0.0,0.0,0.0,21.92,4.77
222531,FOR,Gibbs-White,M,3.4,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,3.89,0.0,0.0,0.0,0.0,21.86,6.43
60689,FOR,Wood,F,3.5,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,3.73,0.0,0.0,0.0,0.0,21.84,6.24
85633,FOR,Sels,G,3.2,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,4.04,0.0,0.0,0.0,0.0,21.77,6.8
244731,LIV,Luis Díaz,F,5.1,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0.0,3.38,0.0,3.69,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,21.68,4.25
202641,MUN,Onana,G,4.1,4.13,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,21.64,5.28
462424,ARS,Saliba,D,4.5,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,2.34,0.0,4.45,0.0,0.0,0.0,0.0,21.55,4.79
98980,AVL,Martinez,G,3.9,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,21.32,5.47
